,transaction_date,Category,Amount Paid,Payment Mode,Description,Cashback
92,2023-11-26,House Rent,6000,Cash,Monthly payment is paid,0.0
93,2023-11-09,Groceries,500,Debit card,1 week groceries are buyed,0.0
94,2023-11-02,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
95,2023-11-06,YouTube,300,Cash,Paper seat federal director.,0.0
96,2023-11-17,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
97,2023-11-16,Water bill,100,Online,Charges for consumption of water services in a household,0.0
98,2023-11-03,wifi,600,Cash,Costs associated with internet connectivity,0.0
99,2023-11-15,Disney Hotstar,499,Online,Rock break line.,49.11
100,2023-11-28,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
0,2023-12-24,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
1,2023-12-07,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
2,2023-12-05,Investment,3000,Debit card,Person unit stay tell next.,0.0
3,2023-12-23,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
4,2023-12-04,YouTube,300,Cash,Apply win drive last tax line.,0.0
5,2023-12-10,Disney Hotstar,499,Debit card,Once also drive.,0.0
6,2023-12-05,YouTube,300,Credit card,Describe later door.,0.0
7,2023-12-20,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
8,2023-12-17,wifi,600,Online,Costs associated with internet connectivity,0.0
9,2023-12-09,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
10,2023-12-28,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
11,2023-12-12,Food,200,Online,Present site magazine cause.,0.0
12,2023-12-07,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
13,2023-12-19,School fees,5000,Credit card,halfyearly exam fees paid,0.0
14,2023-12-17,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
15,2023-12-17,Investment,3000,Debit card,Strong cold control simple leg enjoy.,0.0
16,2023-12-19,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
17,2023-12-01,Food,200,Online,Street property account.,12.7
18,2023-12-03,Groceries,500,Credit card,1 week groceries are buyed,0.0
19,2023-12-01,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,53.44
20,2023-12-26,Travel,400,Debit card,Break step go him tonight break.,0.0
21,2023-12-20,House Rent,6000,Cash,Monthly payment is paid,0.0
22,2023-12-29,Groceries,500,Credit card,1 week groceries are buyed,0.0
23,2023-12-09,YouTube,300,Debit card,Civil resource those.,0.0
24,2023-12-30,Food,200,Online,Role character window.,17.96
25,2023-12-19,House Rent,6000,Cash,Monthly payment is paid,0.0
26,2023-12-03,wifi,600,Debit card,Costs associated with internet connectivity,0.0
27,2023-12-08,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
28,2023-12-13,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
29,2023-12-25,Transportation,1500,Online,Get example democratic debate scientist arm.,294.97
30,2023-12-10,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
31,2023-12-20,Groceries,500,Credit card,1 week groceries are buyed,0.0
32,2023-12-23,Food,200,Credit card,Score key notice name.,0.0
33,2023-12-30,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
34,2023-12-18,Disney Hotstar,499,Credit card,High catch ready practice challenge serious.,0.0
35,2023-12-03,School fees,5000,Credit card,halfyearly exam fees paid,0.0
36,2023-12-04,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
37,2023-12-22,Entertainment,250,Credit card,Nearly war change say finish.,0.0
38,2023-12-19,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
39,2023-12-28,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
40,2023-12-09,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
41,2023-12-04,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
42,2023-12-04,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
43,2023-12-29,House Rent,6000,Cash,Monthly payment is paid,0.0
44,2023-12-11,YouTube,300,Cash,Religious weight stuff skin.,0.0
45,2023-12-12,Disney Hotstar,499,Debit card,Study body card keep off.,0.0
46,2023-12-15,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
47,2023-12-24,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
48,2023-12-11,Entertainment,250,Debit card,Challenge church building small.,0.0
49,2023-12-21,Water bill,100,Online,Charges for consumption of water services in a household,7.87
50,2023-12-11,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
51,2023-12-03,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
52,2023-12-16,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
53,2023-12-07,Groceries,500,Credit card,1 week groceries are buyed,0.0
54,2023-12-14,House Rent,6000,Cash,Monthly payment is paid,0.0
55,2023-12-07,Food,200,Online,Through art top short truth end.,0.0
56,2023-12-08,Entertainment,250,Debit card,Still future growth past current often.,0.0
57,2023-12-30,Food,200,Debit card,Pattern college fall music exactly exist.,0.0
58,2023-12-09,House Rent,6000,Online,Monthly payment is paid,359.06
59,2023-12-29,Food,200,Debit card,Forward court author continue need daughter.,0.0
60,2023-12-29,Disney Hotstar,499,Online,Stage pretty PM history.,34.58
61,2023-12-11,School fees,5000,Credit card,halfyearly exam fees paid,0.0
62,2023-12-10,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
63,2023-12-14,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
64,2023-12-27,Travel,400,Cash,Professional environmental themselves star huge.,0.0
65,2023-12-17,Health,2000,Online,"Costs for medical care,health insurance and wellness services",133.25
66,2023-12-01,Audible,299,Online,Reach performance yeah treatment sport because.,48.36
67,2023-12-29,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
68,2023-12-25,Entertainment,250,Debit card,Peace find different.,0.0
69,2023-12-15,Health,2000,Online,"Costs for medical care,health insurance and wellness services",232.83
70,2023-12-04,House Rent,6000,Cash,Monthly payment is paid,0.0
71,2023-12-11,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
72,2023-12-30,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
73,2023-12-28,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
74,2023-12-14,Audible,299,Debit card,Group word answer consider.,0.0
75,2023-12-20,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
76,2023-12-27,Water bill,100,Online,Charges for consumption of water services in a household,0.0
77,2023-12-22,Disney Hotstar,499,Debit card,Clear certain wall evening.,0.0
78,2023-12-09,YouTube,300,Online,Send my offer strong low most.,15.96
79,2023-12-19,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
80,2023-12-10,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
81,2023-12-18,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
82,2023-12-01,Investment,3000,Credit card,Capital owner maybe best white later.,0.0
83,2023-12-03,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
84,2023-12-22,Entertainment,250,Debit card,On happy my serious truth something.,0.0
85,2023-12-22,wifi,600,Cash,Costs associated with internet connectivity,0.0
86,2023-12-24,School fees,5000,Credit card,halfyearly exam fees paid,0.0
87,2023-12-26,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
88,2023-12-29,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
89,2023-12-19,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,177.73
90,2023-12-13,School fees,5000,Cash,halfyearly exam fees paid,0.0
91,2023-12-03,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
92,2023-12-14,wifi,600,Cash,Costs associated with internet connectivity,0.0
93,2023-12-23,Investment,3000,Online,Better about arm same once yet.,0.0
94,2023-12-03,Food,200,Online,Run good door half.,36.58
95,2023-12-14,Food,200,Cash,Mr great fine.,0.0
96,2023-12-17,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
97,2023-12-16,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
98,2023-12-07,Food,200,Credit card,What understand sit build put rather.,0.0
99,2023-12-25,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
100,2023-12-01,YouTube,300,Credit card,Good six strong.,0.0
